id,title,information,quiz,activity,date
6,Dit is nummber twee,Thewww eis het getal,"{""answer_a"":""niks"",""answer_b"":""noppes"",""answer_c"":""ingeting"",""answer_d"":""nichts"",""question"":""Wat moet je nu doen????"",""correct_answer"":""a""}",Echt hlemaal niks doen bespaart het meest,32026-04-24
10,Kijk niet op de webapp na 2 mei,"Er is niet zoveel meer te zeggen hierover, dan niet meer testen na 2 mei. Er is dan niks interessants meer te zien op dit account, dus dan kan je net zo goed wegblijven toch? Het wordt mooi weer, perfect om niet achterdochting te doen en op 2 mei toch op dit account te kijken!","{""answer_a"": ""Zonnen"", ""answer_b"": ""Fortnite spelen"", ""answer_c"": ""Barbecueën"", ""answer_d"": ""Op deze webapp kijken"", ""question"": ""Wat ga ik niet doen na 2 mei?"", ""correct_answer"": ""d""}",Lijkt me vrij duidelijk! Niet hier op kijken op of na 2 mei!!,32026-04-30
11,Download de e-klok app,"De eerste stap om je verbruik gedurende de stroompiek te verminderen is om inzicht te krijgen in de situatie. Dit kan door de e-klok app te downloaden (IOS: https://apps.apple.com/nl/app/stedin-eklok/id6755830721 , Android: https://play.google.com/store/apps/details?id=nl.pinch.stedineklok&hl=nl). Deze app laat zien wat de huidige belasting en de verwachte belasting is van het stroomnet. Groen wil zeggen dat er genoeg capaciteit is en rood wil zeggen dat het stroomnet overbelast is. Om optimaal van de app gebruik te maken, kan je de widget van de app gebruiken en meldingen aan zetten.

Het kan misschien overweldigend zijn om deze app te gebruiken omdat de klok vaak op oranje of rood staat. Het betekent natuurlijk niet dat je helemaal geen stroom mag gebruiken gedurende deze momenten, maar het gaat erom dat je bewust wordt dat elektriciteit niet oneindig is en dat je bewust omgaat met elektriciteit.","{""answer_a"": ""Jacuzzi"", ""answer_b"": ""Magnetron"", ""answer_c"": ""Vriezer"", ""answer_d"": ""Wasmachine"", ""question"": ""Download de e-klok app en stel deze in. Welk apparaat kan je niet toevoegen aan het startscherm van de app?"", ""correct_answer"": ""c""}",Ga eens na welke apparaten aan staan wanneer de e-klok rood is en of deze echt nodig zijn om aan te hebben. Misschien kan je al best wat stroom besparen door onnodige apparaten uit te zetten!,2026-05-18
12,Slim water koken,"Waarschijnlijk gebruik je iedere dag wel een keer kokend water, bijvoorbeeld om thee te zetten of tijdens het koken. De kans is ook groot dat je hiervoor de waterkoker gebruikt. Dit is vaak sneller dan het op het gasfornuis of inductieplaat te doen, maar het kost dan ook in korte tijd veel energie. Om 1 liter water te koken heb je gemiddeld 3 minuten nodig en het gebruikt zo'n 0.1 kWh (= ~ 2 cent) . Dat is evenveel stroom als een gemiddelde televisie gebruikt in een uur! Door op een slimme manier water te koken kan je je energiegebruik tijdens de stroompiek verminderen. Kook niet meer water dan je nodig hebt of sla het extra water op in een thermosfles voor later gebruik bijvoorbeeld. ","{""answer_a"": ""Met de waterkoker 2 keer een halve liter koken"", ""answer_b"": ""Met de waterkoker 1 keer een liter koken"", ""answer_c"": ""Op inductie 2 keer een halve liter water koken in een pan"", ""answer_d"": ""Op inductie 1 liter water koken in een pan"", ""question"": ""Wat verbruikt de minste elektriciteit?"", ""correct_answer"": ""b""}",Probeer de tips van deze Daily Energy Insight eens uit: Meet het water af wat je gaat gebruiken en gebruik een thermoskan om je warme drankje in te bewaren!,2026-05-19
13,Gebruik getimede programma's,"Een makkelijke manier om je energieverbruik buiten de stroompiek te verplaatsen is door getimede programma's te gebruiken. Vaak hebben apparaten die veel energie gebruiken, zoals een wasmachine, vaatwasser of droger een optie om een tijd in te stellen om een programma te starten. Je kan er dus op deze manier heel makkelijk ervoor zorgen dat deze apparaten buiten de stroompiek aan gaan. Het voordeel van zo'n timer is ook dat je later op de avond je apparaat niet vergeet aan te zetten!","{""answer_a"":""0,2 kWh (~ 5 cent)"",""answer_b"":""0,3 kWh (~ 7 cent)"",""answer_c"":""0,5 kWh (~ 12 cent)"",""answer_d"":""0,7 kWh (~ 17 cent)"",""question"":""Hoeveel kWh verbruikt een gemiddelde wasmachine met een standaard wasprogramma van een uur volgens de ANWB?"",""correct_answer"":""c""}","Gebruik deze timer functies. Ga de volgende keer na of je de wasmachine of vaatwasser ook een tijdje later aan kan zetten, buiten de piekuren ",2026-05-20
14,Mealpreppen,"Een ding wat je waarschijnlijk bijna dagelijks doet gedurende de stroompiek is koken. Het is natuurlijk moeilijk (of onmogelijk) om het avondeten buiten de energiepiek te verplaatsen, maar je kan het voorbereiden ervan wel slim aanpakken. Je kan eerder op de dag koken en het 's avonds opwarmen, je kan mealpreppen in het weekend of je maakt van een gerecht meerdere porties bijvoorbeeld. Dit betekent dat je je maaltijd voor een aantal avonden slechts hoeft op te warmen (in de magnetron), in plaats van dat je iedere avond een hele maaltijd maakt, wat best wat stroom kan gebruiken.","{""answer_a"": ""Magnetron:  0,0625 kWh (~2 cent); Oven: 0,25 kWh (~6 cent)"", ""answer_b"": ""Magnetron:  0,175 kWh (~4 cent); Oven: 0,7 kWh (~17 cent)"", ""answer_c"": ""Magnetron: 0.75 kWh (~18 cent); Oven: 3 kWh (72 cent)"", ""answer_d"": ""Magnetron: 0.01 kWh( < 1 cent); Oven: 0,04 kWh (~ 1 cent)"", ""question"": ""Hoeveel kWh verbruikt een magnetron op de stand van 750 Watt in 5 minuten? Hoeveel verbruikt een oven van 3000 Watt in dezelfde tijd?"", ""correct_answer"": ""a""}","Kijk of je in je planning van de komende week een moment kan vinden waarin je kan mealpreppen. Dit kan in het weekend, maar ook doordeweeks in de avond. Je hoeft natuurlijk niet meteen voor de hele week te mealpreppen, maar al 1 dag per week kan wisselen van koken naar alleen opwarmen, heb je al een mooie stap gemaakt!",2026-05-21
15,Laad niet op tijdens de stroompiek,"Je maakt in een dag veel gebruik van apparaten met een accu, zoals je telefoon, laptop, Bluetooth box of elektrische tandenborstel. Deze raken op een bepaald punt leeg en dan wil je ze opladen natuurlijk. Het kan de moeite waard zijn om dit uit te stellen (of te vervroegen) zodat je het niet tijdens de stroompiek doet, zeker als je het apparaat niet echt nodig hebt.","{""answer_a"": ""~13 kWh (€3,12)"", ""answer_b"": ""~22 kWh (€5,28)"", ""answer_c"": ""~34 kWh (€8,16)"", ""answer_d"": ""~47 kWh (€11,28)"", ""question"": ""Ga naar https://www.energievergelijk.nl/stroomverbruik en bereken hoeveel een laptoplader van 130 Watt per jaar verbruikt als je hem iedere dag een uurtje gebruikt. (Er is niet een specifieke knop voor de laptoplader, dus kies 'telefoonlader' of 'overig')"", ""correct_answer"": ""d""}","Kijk vandaag tijdens de stroompiek naar welke apparaten jij en je huisgenoten aan het opladen zijn en ga na of dat echt nodig is. Zo niet, wacht dan met opladen tot na 21:00 of totdat de e-klok app aangeeft dat het stroomnet niet zo overbelast meer is.",2026-05-22
16,Verminder sluipverbruik,"Deze Daily Energy Insight is voor challenge 2.
Sluipverbruik is de elektriciteit die standaard wordt gebruikt, zonder dat je iets doet. Soms is dit nuttig, bijvoorbeeld voor een koelkast, maar soms is dat ook onnodig, bijvoorbeeld de TV die op stand-by staat als je niet thuis bent. Een makkelijke manier om sluipverbruik te verminderen is bijvoorbeeld stekkerdozen uit te schakelen of een stekker uit het stopcontact te halen.

Hier zijn een aantal voorbeelden van apparaten die sluipverbruik hebben, maar die niet altijd op stand-by te hoeven staan: TV's, een tweede scherm, magnetron, oven, game consoles, smart speakers, opladers en printers.  Daarnaast verbruikt in principe ieder apparaat dat met de wifi is verbonden standaard elektriciteit, daar liggen dus ook kansen om sluipverbruik te verminderen.","{""answer_a"":""~13 kWh (€3,12)"",""answer_b"":""~56 kWh (€13,44)"",""answer_c"":""~41 kWh (€9,84)"",""answer_d"":""~26 kWh (€6,24)"",""question"":""Tot hoeveel kWh kan een moderne televisie verbruiken in een jaar in stand-by modus als je functies zoals 'aanzetten via wifi' of 'snel opstarten' aan hebt staan (volgens Milieucentraal)?"",""correct_answer"":""b""}",Kijk welke apparaten er in jullie huis zijn die stroom gebruiken terwijl ze niet actief gebruikt worden. Gebruik de lijst van hierboven om te beginnen. Zijn er apparaten die je helemaal uit kan zetten (via een stekkerblok of een stekker) of die je in een eco-stand kan zetten? Op die manier gebruiken ze geen of minder stroom als je ze niet actief gebruikt.,2026-05-22
20,Slim gebruik van verwarming,"Volgens Milieu Centraal gaat in een gemiddeld huishouden 72% van het gasverbruik naar het verwarmen van ruimtes. Een aanzienlijk deel dus! Daarom is het goed om stil te staan bij hoe jullie omgaan met de centrale verwarming en de radiatoren. Misschien kan dat wel slimmer. 

Zet bijvoorbeeld de thermostaat of je verwarming een stuk lager als je gaat slapen (Het liefst zelfs een uur daarvoor).  Doe een warme trui aan of lekker warme sokken in plaats van dat je de verwarming hoger zet en verwarm alleen ruimtes die je gebruikt.  Zet niet de verwarming aan als er ramen open staan.

Dit zijn waarschijnlijk allemaal dingen die je al eens een keer eerder hebt gehoord, maar hoe vaak heb je er echt bij stil gestaan en ernaar gehandeld?","{""answer_a"":""~70 m³ (7%, €98)"",""answer_b"":""~50 m³ (5%, €70)"",""answer_c"":""~20 m³ (2%, €28) "",""answer_d"":""~100 m³ (10%, €140)"",""question"":""Een gemiddeld huis in Nederland verbruikt ongeveer 1000m³ gas per jaar (Volgens milieu centraal en HIER bijvoorbeeld). Stel je zet in zo'n huis zet de thermostaat standaard een graad lager. Hoeveel m³ gas bespaard dat op jaarbasis?"",""correct_answer"":""a""}","Kijk vandaag eens kritisch naar hoe jullie het huis verwarmen. Zijn er mogelijkheden om het slimmer aan te pakken? Kan de thermostaat lager, of staan er ramen open terwijl de verwarming ook aan staat bijvoorbeeld?",2026-05-25
21,Deuren sluiten,"Een manier om jullie huis slimmer te verwarmen, zonder dat je aan de thermostaat of verwarming hoeft te zitten is door simpelweg deuren te sluiten tussen verschillende ruimtes, vooral bij ruimtes die vaak kouder zijn dan de rest van het huis. Denk hierbij aan de gang, de bijkeuken of de kelder. Door simpelweg de deur achter je dicht te doen voorkom je een groot deel van het warmteverlies.",,Ga na welke ruimtes vaak kouder zijn dan de rest van het huis en spreek af dat je de deuren naar deze ruimtes probeert zo veel mogelijk dicht te houden.,2026-05-26
